type,cluster,store_count,total_sales,mean_store_sales
A,14,4,157430530.0,39357630.0
B,6,6,114254380.0,19042398.0
D,8,3,107928250.0,35976084.0
A,11,3,100614280.0,33538094.0
C,3,7,75628700.0,10804101.0
D,13,4,72102250.0,18025562.0
A,5,1,62087550.0,62087550.0
E,10,4,59822436.0,14955609.0
C,15,5,55296950.0,11059390.0
D,1,3,54376750.0,18125584.0
D,4,3,49443444.0,16481148.0
A,17,1,32911490.0,32911490.0
D,9,2,30561080.0,15280540.0
D,2,2,28916404.0,14458202.0
C,12,1,18030970.0,18030970.0
B,10,1,17746872.0,17746872.0
C,7,2,15478121.0,7739060.5
B,16,1,13259376.0,13259376.0
D,10,1,7755122.0,7755122.0
